업태별,시도별,시군구별,(사업자수) 당월①,(사업자수)전월②,증감율(①/②),(사업자수)전년동월③,증감율(①/③)
가구점,충청북도,제천시,36,36,100.00%,36,100.00%
가구점,충청북도,보은군,6,6,100.00%,6,100.00%
가구점,충청북도,옥천군,6,6,100.00%,6,100.00%
가구점,충청북도,영동군,9,9,100.00%,11,81.82%
가구점,충청북도,증평군,3,3,100.00%,3,100.00%
가구점,충청북도,진천군,3,3,100.00%,3,100.00%
가구점,충청북도,괴산군,6,6,100.00%,6,100.00%
가구점,충청북도,음성군,13,13,100.00%,13,100.00%
가구점,충청북도,단양군,3,3,100.00%,*,150.00%
가구점,충청남도,천안시 동남구,37,37,100.00%,34,108.82%
가구점,충청남도,천안시 서북구,75,75,100.00%,74,101.35%
가구점,충청남도,공주시,15,16,93.75%,15,100.00%
가구점,충청남도,보령시,17,17,100.00%,17,100.00%
가구점,충청남도,아산시,33,34,97.06%,34,97.06%
가구점,충청남도,서산시,32,32,100.00%,31,103.23%
가구점,충청남도,논산시,22,22,100.00%,21,104.76%
가구점,충청남도,계룡시,5,5,100.00%,8,62.50%
가구점,충청남도,당진시,18,18,100.00%,20,90.00%
가구점,충청남도,금산군,7,7,100.00%,6,116.67%
가구점,충청남도,부여군,4,4,100.00%,4,100.00%
가구점,충청남도,서천군,*,*,100.00%,*,100.00%
가구점,충청남도,청양군,6,6,100.00%,6,100.00%
가구점,충청남도,홍성군,18,18,100.00%,18,100.00%
가구점,충청남도,예산군,13,13,100.00%,12,108.33%
가구점,충청남도,태안군,4,4,100.00%,5,80.00%
가구점,세종특별자치시,세종시,20,21,95.24%,23,86.96%
가구점,광주광역시,동구,23,24,95.83%,24,95.83%
가구점,광주광역시,서구,75,74,101.35%,70,107.14%
가구점,광주광역시,남구,11,10,110.00%,13,84.62%
가구점,광주광역시,북구,59,60,98.33%,63,93.65%
가구점,광주광역시,광산구,46,48,95.83%,47,97.87%
가구점,전라북도,전주시 완산구,113,111,101.80%,118,95.76%
가구점,전라북도,전주시 덕진구,49,49,100.00%,59,83.05%
가구점,전라북도,군산시,63,62,101.61%,70,90.00%
가구점,전라북도,익산시,65,65,100.00%,66,98.48%
가구점,전라북도,정읍시,15,15,100.00%,15,100.00%
가구점,전라북도,남원시,21,21,100.00%,21,100.00%
가구점,전라북도,김제시,31,34,91.18%,35,88.57%
가구점,전라북도,완주군,11,12,91.67%,10,110.00%
가구점,전라북도,진안군,*,*,100.00%,*,100.00%
가구점,전라북도,무주군,*,*,100.00%,*,100.00%
가구점,전라북도,장수군,*,*,100.00%,*,100.00%
가구점,전라북도,임실군,4,4,100.00%,4,100.00%
가구점,전라북도,순창군,*,*,100.00%,*,100.00%
가구점,전라북도,고창군,6,6,100.00%,6,100.00%
가구점,전라북도,부안군,8,8,100.00%,8,100.00%
가구점,전라남도,목포시,54,54,100.00%,60,90.00%
가구점,전라남도,여수시,49,49,100.00%,48,102.08%
가구점,전라남도,순천시,62,63,98.41%,64,96.88%
가구점,전라남도,나주시,12,12,100.00%,11,109.09%
가구점,전라남도,광양시,16,16,100.00%,15,106.67%
가구점,전라남도,담양군,*,*,100.00%,4,25.00%
가구점,전라남도,곡성군,*,*,100.00%,*,100.00%
가구점,전라남도,구례군,5,5,100.00%,4,125.00%
가구점,전라남도,고흥군,7,7,100.00%,7,100.00%
가구점,전라남도,보성군,4,4,100.00%,5,80.00%
가구점,전라남도,화순군,5,5,100.00%,6,83.33%
가구점,전라남도,장흥군,3,3,100.00%,4,75.00%
가구점,전라남도,강진군,3,3,100.00%,3,100.00%
가구점,전라남도,해남군,11,11,100.00%,11,100.00%
가구점,전라남도,영암군,5,6,83.33%,6,83.33%
가구점,전라남도,무안군,7,7,100.00%,7,100.00%
가구점,전라남도,함평군,*,*,100.00%,*,100.00%
가구점,전라남도,영광군,5,5,100.00%,6,83.33%
가구점,전라남도,장성군,5,5,100.00%,5,100.00%
가구점,전라남도,완도군,5,5,100.00%,5,100.00%
가구점,전라남도,진도군,5,5,100.00%,5,100.00%
가구점,대구광역시,중구,24,24,100.00%,29,82.76%
가구점,대구광역시,동구,60,61,98.36%,53,113.21%
가구점,대구광역시,서구,49,48,102.08%,47,104.26%
가구점,대구광역시,남구,21,21,100.00%,23,91.30%
가구점,대구광역시,북구,109,108,100.93%,108,100.93%
가구점,대구광역시,수성구,41,41,100.00%,41,100.00%
가구점,대구광역시,달서구,45,46,97.83%,42,107.14%
가구점,대구광역시,달성군,22,22,100.00%,20,110.00%
가구점,경상북도,포항시 남구,24,24,100.00%,24,100.00%
가구점,경상북도,포항시 북구,66,66,100.00%,72,91.67%
가구점,경상북도,경주시,49,49,100.00%,42,116.67%
가구점,경상북도,김천시,31,31,100.00%,33,93.94%
가구점,경상북도,안동시,45,46,97.83%,43,104.65%
가구점,경상북도,구미시,67,68,98.53%,73,91.78%
가구점,경상북도,영주시,20,20,100.00%,22,90.91%
가구점,경상북도,영천시,10,9,111.11%,10,100.00%
가구점,경상북도,상주시,15,14,107.14%,11,136.36%
가구점,경상북도,문경시,13,14,92.86%,15,86.67%
가구점,경상북도,경산시,41,41,100.00%,44,93.18%
가구점,경상북도,군위군,*,*,100.00%,*,100.00%
가구점,경상북도,의성군,4,4,100.00%,4,100.00%
가구점,경상북도,청송군,3,3,100.00%,3,100.00%
가구점,경상북도,영양군,*,*,100.00%,*,100.00%
가구점,경상북도,영덕군,*,*,100.00%,*,100.00%
가구점,경상북도,청도군,*,*,100.00%,*,100.00%
가구점,경상북도,고령군,4,4,100.00%,3,133.33%
가구점,경상북도,성주군,7,6,116.67%,6,116.67%
가구점,경상북도,칠곡군,37,37,100.00%,40,92.50%
가구점,경상북도,예천군,4,4,100.00%,4,100.00%
가구점,경상북도,봉화군,*,*,100.00%,*,100.00%
가구점,경상북도,울진군,10,10,100.00%,10,100.00%
가구점,경상북도,울릉군,*,*,100.00%,*,100.00%
가구점,부산광역시,중구,11,11,100.00%,13,84.62%
가구점,부산광역시,서구,8,8,100.00%,9,88.89%
가구점,부산광역시,동구,65,65,100.00%,62,104.84%
가구점,부산광역시,영도구,7,8,87.50%,7,100.00%
가구점,부산광역시,부산진구,33,30,110.00%,32,103.13%
가구점,부산광역시,동래구,45,44,102.27%,50,90.00%
가구점,부산광역시,남구,29,29,100.00%,28,103.57%
가구점,부산광역시,북구,24,25,96.00%,31,77.42%
가구점,부산광역시,해운대구,77,77,100.00%,75,102.67%
가구점,부산광역시,사하구,42,42,100.00%,44,95.45%
가구점,부산광역시,금정구,34,34,100.00%,34,100.00%
가구점,부산광역시,강서구,18,18,100.00%,15,120.00%
가구점,부산광역시,연제구,36,36,100.00%,35,102.86%
가구점,부산광역시,수영구,21,21,100.00%,24,87.50%
가구점,부산광역시,사상구,35,34,102.94%,33,106.06%
가구점,부산광역시,기장군,27,29,93.10%,27,100.00%
가구점,울산광역시,중구,70,68,102.94%,70,100.00%
가구점,울산광역시,남구,42,43,97.67%,43,97.67%
가구점,울산광역시,동구,18,18,100.00%,17,105.88%
가구점,울산광역시,북구,22,23,95.65%,27,81.48%
가구점,울산광역시,울주군,28,30,93.33%,32,87.50%
가구점,경상남도,창원시 의창구,56,55,101.82%,53,105.66%
가구점,경상남도,창원시 성산구,30,31,96.77%,29,103.45%
가구점,경상남도,창원시 마산합포구,36,36,100.00%,39,92.31%
가구점,경상남도,창원시 마산회원구,14,14,100.00%,13,107.69%
가구점,경상남도,창원시 진해구,23,23,100.00%,25,92.00%
가구점,경상남도,진주시,70,67,104.48%,72,97.22%
가구점,경상남도,통영시,26,26,100.00%,26,100.00%
가구점,경상남도,사천시,19,19,100.00%,19,100.00%
가구점,경상남도,김해시,135,137,98.54%,147,91.84%
가구점,경상남도,밀양시,14,14,100.00%,17,82.35%
가구점,경상남도,거제시,27,27,100.00%,27,100.00%
가구점,경상남도,양산시,60,59,101.69%,56,107.14%
가구점,경상남도,의령군,*,*,100.00%,*,50.00%
가구점,경상남도,함안군,4,4,100.00%,4,100.00%
가구점,경상남도,창녕군,7,6,116.67%,7,100.00%
가구점,경상남도,고성군,8,8,100.00%,8,100.00%
가구점,경상남도,남해군,7,7,100.00%,7,100.00%
가구점,경상남도,하동군,6,6,100.00%,7,85.71%
가구점,경상남도,산청군,*,*,100.00%,*,100.00%
가구점,경상남도,함양군,4,4,100.00%,4,100.00%
가구점,경상남도,거창군,9,9,100.00%,10,90.00%
가구점,경상남도,합천군,6,6,100.00%,7,85.71%
가구점,제주특별자치도,제주시,142,144,98.61%,137,103.65%
가구점,제주특별자치도,서귀포시,39,39,100.00%,29,134.48%
가전제품수리점,서울특별시,종로구,59,58,101.72%,56,105.36%
가전제품수리점,서울특별시,중구,32,33,96.97%,28,114.29%
가전제품수리점,서울특별시,용산구,43,42,102.38%,45,95.56%
가전제품수리점,서울특별시,성동구,55,55,100.00%,49,112.24%
가전제품수리점,서울특별시,광진구,78,75,104.00%,72,108.33%
가전제품수리점,서울특별시,동대문구,97,95,102.11%,91,106.59%
가전제품수리점,서울특별시,중랑구,154,150,102.67%,139,110.79%
가전제품수리점,서울특별시,성북구,101,95,106.32%,93,108.60%
가전제품수리점,서울특별시,강북구,107,104,102.88%,110,97.27%
가전제품수리점,서울특별시,도봉구,100,95,105.26%,91,109.89%
가전제품수리점,서울특별시,노원구,124,119,104.20%,102,121.57%
가전제품수리점,서울특별시,은평구,126,125,100.80%,101,124.75%
가전제품수리점,서울특별시,서대문구,65,63,103.17%,47,138.30%
가전제품수리점,서울특별시,마포구,75,74,101.35%,68,110.29%
가전제품수리점,서울특별시,양천구,104,103,100.97%,90,115.56%
가전제품수리점,서울특별시,강서구,127,126,100.79%,111,114.41%
가전제품수리점,서울특별시,구로구,90,87,103.45%,79,113.92%
가전제품수리점,서울특별시,금천구,61,59,103.39%,45,135.56%
가전제품수리점,서울특별시,영등포구,79,80,98.75%,67,117.91%
가전제품수리점,서울특별시,동작구,43,44,97.73%,39,110.26%
가전제품수리점,서울특별시,관악구,111,106,104.72%,102,108.82%
가전제품수리점,서울특별시,서초구,66,63,104.76%,56,117.86%
가전제품수리점,서울특별시,강남구,72,71,101.41%,72,100.00%
가전제품수리점,서울특별시,송파구,102,99,103.03%,98,104.08%
가전제품수리점,서울특별시,강동구,112,112,100.00%,94,119.15%
가전제품수리점,인천광역시,중구,32,30,106.67%,27,118.52%
가전제품수리점,인천광역시,동구,26,26,100.00%,20,130.00%
가전제품수리점,인천광역시,남구,0,0,/0,106,0.00%
가전제품수리점,인천광역시,미추홀구,137,136,100.74%,0,/0
가전제품수리점,인천광역시,연수구,55,51,107.84%,37,148.65%
가전제품수리점,인천광역시,남동구,187,185,101.08%,154,121.43%
가전제품수리점,인천광역시,부평구,203,196,103.57%,167,121.56%
가전제품수리점,인천광역시,계양구,152,151,100.66%,130,116.92%
가전제품수리점,인천광역시,서구,153,147,104.08%,131,116.79%
가전제품수리점,인천광역시,강화군,9,9,100.00%,3,300.00%
가전제품수리점,인천광역시,옹진군,4,3,133.33%,4,100.00%
가전제품수리점,경기도,수원시 장안구,86,88,97.73%,79,108.86%
가전제품수리점,경기도,수원시 권선구,155,150,103.33%,135,114.81%
가전제품수리점,경기도,수원시 팔달구,94,90,104.44%,90,104.44%
가전제품수리점,경기도,수원시 영통구,80,76,105.26%,66,121.21%
가전제품수리점,경기도,성남시 수정구,76,71,107.04%,73,104.11%
가전제품수리점,경기도,성남시 중원구,79,75,105.33%,66,119.70%
가전제품수리점,경기도,성남시 분당구,53,52,101.92%,46,115.22%
가전제품수리점,경기도,의정부시,181,172,105.23%,155,116.77%
가전제품수리점,경기도,안양시 만안구,52,50,104.00%,54,96.30%
가전제품수리점,경기도,안양시 동안구,59,57,103.51%,52,113.46%
가전제품수리점,경기도,부천시,284,278,102.16%,239,118.83%
가전제품수리점,경기도,광명시,66,66,100.00%,69,95.65%
가전제품수리점,경기도,평택시,136,140,97.14%,119,114.29%
가전제품수리점,경기도,동두천시,25,26,96.15%,30,83.33%
가전제품수리점,경기도,안산시 상록구,120,118,101.69%,93,129.03%
가전제품수리점,경기도,안산시 단원구,80,83,96.39%,71,112.68%
가전제품수리점,경기도,고양시 덕양구,167,162,103.09%,130,128.46%
가전제품수리점,경기도,고양시 일산동구,84,82,102.44%,73,115.07%
가전제품수리점,경기도,고양시 일산서구,79,77,102.60%,70,112.86%
가전제품수리점,경기도,과천시,7,7,100.00%,8,87.50%
가전제품수리점,경기도,구리시,97,94,103.19%,81,119.75%
가전제품수리점,경기도,남양주시,345,332,103.92%,287,120.21%
가전제품수리점,경기도,오산시,70,70,100.00%,63,111.11%
가전제품수리점,경기도,시흥시,117,116,100.86%,96,121.88%
가전제품수리점,경기도,군포시,58,53,109.43%,41,141.46%
가전제품수리점,경기도,의왕시,42,42,100.00%,32,131.25%
가전제품수리점,경기도,하남시,80,80,100.00%,52,153.85%
가전제품수리점,경기도,용인시 처인구,66,66,100.00%,56,117.86%
가전제품수리점,경기도,용인시 기흥구,63,64,98.44%,61,103.28%
가전제품수리점,경기도,용인시 수지구,21,22,95.45%,19,110.53%
가전제품수리점,경기도,파주시,143,136,105.15%,104,137.50%
가전제품수리점,경기도,이천시,41,39,105.13%,28,146.43%
가전제품수리점,경기도,안성시,37,36,102.78%,19,194.74%
가전제품수리점,경기도,김포시,109,105,103.81%,83,131.33%
가전제품수리점,경기도,화성시,149,146,102.05%,125,119.20%
가전제품수리점,경기도,광주시,112,111,100.90%,93,120.43%
가전제품수리점,경기도,양주시,63,58,108.62%,50,126.00%
가전제품수리점,경기도,포천시,39,36,108.33%,31,125.81%
가전제품수리점,경기도,여주시,36,37,97.30%,30,120.00%
가전제품수리점,경기도,연천군,10,10,100.00%,8,125.00%
가전제품수리점,경기도,가평군,15,14,107.14%,14,107.14%
가전제품수리점,경기도,양평군,18,17,105.88%,16,112.50%
가전제품수리점,강원도,춘천시,96,97,98.97%,83,115.66%
가전제품수리점,강원도,원주시,155,145,106.90%,132,117.42%
가전제품수리점,강원도,강릉시,84,83,101.20%,69,121.74%
가전제품수리점,강원도,동해시,24,24,100.00%,21,114.29%
가전제품수리점,강원도,태백시,4,4,100.00%,4,100.00%
가전제품수리점,강원도,속초시,22,22,100.00%,17,129.41%
가전제품수리점,강원도,삼척시,11,10,110.00%,9,122.22%
가전제품수리점,강원도,홍천군,9,9,100.00%,11,81.82%
가전제품수리점,강원도,횡성군,9,9,100.00%,7,128.57%
가전제품수리점,강원도,영월군,10,12,83.33%,10,100.00%
가전제품수리점,강원도,평창군,10,10,100.00%,7,142.86%
가전제품수리점,강원도,정선군,7,7,100.00%,6,116.67%
가전제품수리점,강원도,철원군,3,3,100.00%,4,75.00%
가전제품수리점,강원도,화천군,4,3,133.33%,3,133.33%
가전제품수리점,강원도,양구군,6,6,100.00%,5,120.00%
가전제품수리점,강원도,인제군,*,*,100.00%,*,50.00%
가전제품수리점,강원도,고성군,5,3,166.67%,3,166.67%
가전제품수리점,강원도,양양군,5,5,100.00%,3,166.67%
가전제품수리점,대전광역시,동구,83,83,100.00%,68,122.06%
가전제품수리점,대전광역시,중구,115,112,102.68%,97,118.56%
가전제품수리점,대전광역시,서구,149,148,100.68%,122,122.13%
가전제품수리점,대전광역시,유성구,54,52,103.85%,38,142.11%
가전제품수리점,대전광역시,대덕구,77,75,102.67%,57,135.09%
가전제품수리점,충청북도,청주시 상당구,46,46,100.00%,45,102.22%
가전제품수리점,충청북도,청주시 서원구,76,77,98.70%,66,115.15%
가전제품수리점,충청북도,청주시 흥덕구,73,70,104.29%,66,110.61%
가전제품수리점,충청북도,청주시 청원구,36,36,100.00%,32,112.50%
가전제품수리점,충청북도,충주시,56,56,100.00%,53,105.66%
가전제품수리점,충청북도,제천시,45,46,97.83%,37,121.62%
가전제품수리점,충청북도,보은군,7,7,100.00%,6,116.67%
가전제품수리점,충청북도,옥천군,6,6,100.00%,5,120.00%
가전제품수리점,충청북도,영동군,8,9,88.89%,6,133.33%
가전제품수리점,충청북도,증평군,7,7,100.00%,5,140.00%
가전제품수리점,충청북도,진천군,10,10,100.00%,8,125.00%
가전제품수리점,충청북도,괴산군,7,7,100.00%,7,100.00%
가전제품수리점,충청북도,음성군,23,22,104.55%,20,115.00%
가전제품수리점,충청북도,단양군,*,*,100.00%,*,100.00%
가전제품수리점,충청남도,천안시 동남구,109,107,101.87%,88,123.86%
가전제품수리점,충청남도,천안시 서북구,121,115,105.22%,83,145.78%
가전제품수리점,충청남도,공주시,24,24,100.00%,20,120.00%
가전제품수리점,충청남도,보령시,25,25,100.00%,21,119.05%
가전제품수리점,충청남도,아산시,94,94,100.00%,81,116.05%
가전제품수리점,충청남도,서산시,49,50,98.00%,38,128.95%
가전제품수리점,충청남도,논산시,24,22,109.09%,21,114.29%
가전제품수리점,충청남도,계룡시,9,9,100.00%,7,128.57%
가전제품수리점,충청남도,당진시,19,20,95.00%,20,95.00%
가전제품수리점,충청남도,금산군,6,6,100.00%,9,66.67%
가전제품수리점,충청남도,부여군,7,7,100.00%,6,116.67%
가전제품수리점,충청남도,서천군,14,14,100.00%,12,116.67%
가전제품수리점,충청남도,청양군,5,5,100.00%,5,100.00%
가전제품수리점,충청남도,홍성군,24,23,104.35%,19,126.32%
가전제품수리점,충청남도,예산군,19,19,100.00%,20,95.00%
가전제품수리점,충청남도,태안군,7,7,100.00%,5,140.00%
가전제품수리점,세종특별자치시,세종시,47,47,100.00%,38,123.68%
가전제품수리점,광주광역시,동구,26,26,100.00%,24,108.33%
가전제품수리점,광주광역시,서구,82,82,100.00%,65,126.15%
가전제품수리점,광주광역시,남구,49,48,102.08%,35,140.00%
가전제품수리점,광주광역시,북구,125,125,100.00%,112,111.61%
가전제품수리점,광주광역시,광산구,111,108,102.78%,85,130.59%
가전제품수리점,전라북도,전주시 완산구,104,99,105.05%,82,126.83%
가전제품수리점,전라북도,전주시 덕진구,103,102,100.98%,85,121.18%
가전제품수리점,전라북도,군산시,60,58,103.45%,56,107.14%
가전제품수리점,전라북도,익산시,77,76,101.32%,69,111.59%
가전제품수리점,전라북도,정읍시,29,30,96.67%,28,103.57%
가전제품수리점,전라북도,남원시,24,24,100.00%,19,126.32%
가전제품수리점,전라북도,김제시,18,18,100.00%,19,94.74%
가전제품수리점,전라북도,완주군,14,15,93.33%,9,155.56%
가전제품수리점,전라북도,진안군,3,3,100.00%,*,300.00%
가전제품수리점,전라북도,무주군,*,*,100.00%,*,100.00%
가전제품수리점,전라북도,장수군,*,*,100.00%,3,66.67%
가전제품수리점,전라북도,임실군,10,10,100.00%,4,250.00%
가전제품수리점,전라북도,순창군,6,7,85.71%,*,300.00%
가전제품수리점,전라북도,고창군,7,7,100.00%,4,175.00%
가전제품수리점,전라북도,부안군,8,8,100.00%,9,88.89%
가전제품수리점,전라남도,목포시,127,126,100.79%,108,117.59%
가전제품수리점,전라남도,여수시,67,66,101.52%,61,109.84%
가전제품수리점,전라남도,순천시,74,73,101.37%,71,104.23%
가전제품수리점,전라남도,나주시,16,16,100.00%,14,114.29%
가전제품수리점,전라남도,광양시,32,29,110.34%,23,139.13%
가전제품수리점,전라남도,담양군,9,9,100.00%,7,128.57%
가전제품수리점,전라남도,곡성군,0,*,0.00%,0,/0
가전제품수리점,전라남도,구례군,*,*,100.00%,3,66.67%
가전제품수리점,전라남도,고흥군,14,14,100.00%,10,140.00%
가전제품수리점,전라남도,보성군,8,7,114.29%,*,400.00%
가전제품수리점,전라남도,화순군,12,12,100.00%,11,109.09%
가전제품수리점,전라남도,장흥군,7,8,87.50%,10,70.00%
가전제품수리점,전라남도,강진군,5,4,125.00%,3,166.67%
가전제품수리점,전라남도,해남군,17,18,94.44%,19,89.47%
가전제품수리점,전라남도,영암군,8,8,100.00%,8,100.00%
가전제품수리점,전라남도,무안군,21,20,105.00%,11,190.91%
가전제품수리점,전라남도,함평군,*,*,100.00%,*,100.00%
가전제품수리점,전라남도,영광군,6,7,85.71%,7,85.71%
가전제품수리점,전라남도,장성군,7,8,87.50%,6,116.67%
가전제품수리점,전라남도,완도군,10,10,100.00%,8,125.00%
가전제품수리점,전라남도,진도군,3,3,100.00%,*,150.00%
가전제품수리점,전라남도,신안군,9,9,100.00%,7,128.57%
가전제품수리점,대구광역시,중구,34,33,103.03%,34,100.00%
가전제품수리점,대구광역시,동구,100,95,105.26%,81,123.46%
가전제품수리점,대구광역시,서구,71,72,98.61%,66,107.58%
가전제품수리점,대구광역시,남구,59,61,96.72%,55,107.27%
가전제품수리점,대구광역시,북구,119,115,103.48%,92,129.35%
가전제품수리점,대구광역시,수성구,63,62,101.61%,55,114.55%
가전제품수리점,대구광역시,달서구,146,143,102.10%,123,118.70%
가전제품수리점,대구광역시,달성군,61,61,100.00%,50,122.00%
가전제품수리점,경상북도,포항시 남구,54,52,103.85%,45,120.00%
가전제품수리점,경상북도,포항시 북구,46,46,100.00%,42,109.52%
가전제품수리점,경상북도,경주시,46,45,102.22%,43,106.98%
가전제품수리점,경상북도,김천시,18,18,100.00%,18,100.00%
가전제품수리점,경상북도,안동시,41,41,100.00%,38,107.89%
가전제품수리점,경상북도,구미시,99,95,104.21%,73,135.62%
가전제품수리점,경상북도,영주시,16,15,106.67%,15,106.67%
가전제품수리점,경상북도,영천시,17,17,100.00%,16,106.25%
가전제품수리점,경상북도,상주시,22,22,100.00%,20,110.00%
가전제품수리점,경상북도,문경시,9,9,100.00%,8,112.50%
