업태별,시도명,시군구명,성별,(전체)당월①,(전체)전월②,증감율(①/②),(전체)전년동월③,증감율(①/③),(개인)당월①,(개인)전월②,증감율(①/②),(개인)전년동월③,증감율(①/③),(법인)당월①,(법인)전월②,증감율(①/②),(법인)전년동월③,증감율(①/③)
제조업,서울특별시,서대문구,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,서울특별시,마포구,남자,"2,901","2,875",100.90%,"2,859",101.47%,"1,832","1,816",100.88%,"1,802",101.66%,"1,069","1,059",100.94%,"1,057",101.14%
제조업,서울특별시,마포구,여자,"1,247","1,233",101.14%,"1,171",106.49%,997,979,101.84%,940,106.06%,250,254,98.43%,231,108.23%
제조업,서울특별시,마포구,미상,12,12,100.00%,13,92.31%,8,8,100.00%,8,100.00%,4,4,100.00%,5,80.00%
제조업,서울특별시,양천구,남자,"1,393","1,388",100.36%,"1,410",98.79%,"1,056","1,052",100.38%,"1,064",99.25%,337,336,100.30%,346,97.40%
제조업,서울특별시,양천구,여자,540,537,100.56%,531,101.69%,458,457,100.22%,457,100.22%,82,80,102.50%,74,110.81%
제조업,서울특별시,양천구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,서울특별시,강서구,남자,"1,860","1,842",100.98%,"1,763",105.50%,"1,128","1,121",100.62%,"1,082",104.25%,732,721,101.53%,681,107.49%
제조업,서울특별시,강서구,여자,649,647,100.31%,600,108.17%,503,502,100.20%,470,107.02%,146,145,100.69%,130,112.31%
제조업,서울특별시,강서구,미상,10,10,100.00%,10,100.00%,7,7,100.00%,7,100.00%,3,3,100.00%,3,100.00%
제조업,서울특별시,구로구,남자,"4,783","4,786",99.94%,"4,845",98.72%,"3,131","3,135",99.87%,"3,176",98.58%,"1,652","1,651",100.06%,"1,669",98.98%
제조업,서울특별시,구로구,여자,955,947,100.84%,953,100.21%,739,737,100.27%,734,100.68%,216,210,102.86%,219,98.63%
제조업,서울특별시,구로구,미상,9,10,90.00%,13,69.23%,4,4,100.00%,5,80.00%,5,6,83.33%,8,62.50%
제조업,서울특별시,금천구,남자,"6,234","6,222",100.19%,"6,174",100.97%,"3,357","3,355",100.06%,"3,401",98.71%,"2,877","2,867",100.35%,"2,773",103.75%
제조업,서울특별시,금천구,여자,"1,494","1,485",100.61%,"1,455",102.68%,"1,054","1,050",100.38%,"1,031",102.23%,440,435,101.15%,424,103.77%
제조업,서울특별시,금천구,미상,16,16,100.00%,17,94.12%,5,5,100.00%,5,100.00%,11,11,100.00%,12,91.67%
제조업,서울특별시,영등포구,남자,"5,057","5,053",100.08%,"5,198",97.29%,"3,723","3,725",99.95%,"3,816",97.56%,"1,334","1,328",100.45%,"1,382",96.53%
제조업,서울특별시,영등포구,여자,"1,024","1,027",99.71%,"1,051",97.43%,798,800,99.75%,829,96.26%,226,227,99.56%,222,101.80%
제조업,서울특별시,영등포구,미상,18,18,100.00%,20,90.00%,13,13,100.00%,13,100.00%,5,5,100.00%,7,71.43%
제조업,서울특별시,동작구,남자,889,889,100.00%,897,99.11%,682,679,100.44%,684,99.71%,207,210,98.57%,213,97.18%
제조업,서울특별시,동작구,여자,418,416,100.48%,418,100.00%,354,353,100.28%,355,99.72%,64,63,101.59%,63,101.59%
제조업,서울특별시,동작구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,서울특별시,관악구,남자,"1,687","1,679",100.48%,"1,743",96.79%,"1,409","1,408",100.07%,"1,447",97.37%,278,271,102.58%,296,93.92%
제조업,서울특별시,관악구,여자,640,634,100.95%,643,99.53%,557,553,100.72%,559,99.64%,83,81,102.47%,84,98.81%
제조업,서울특별시,관악구,미상,3,3,100.00%,4,75.00%,3,3,100.00%,4,75.00%,,,,,
제조업,서울특별시,서초구,남자,"2,594","2,593",100.04%,"2,576",100.70%,"1,110","1,116",99.46%,"1,114",99.64%,"1,484","1,477",100.47%,"1,462",101.50%
제조업,서울특별시,서초구,여자,"1,027","1,001",102.60%,991,103.63%,695,674,103.12%,663,104.83%,332,327,101.53%,328,101.22%
제조업,서울특별시,서초구,미상,20,20,100.00%,18,111.11%,13,13,100.00%,11,118.18%,7,7,100.00%,7,100.00%
제조업,서울특별시,강남구,남자,"3,879","3,853",100.67%,"3,893",99.64%,"1,565","1,560",100.32%,"1,614",96.96%,"2,314","2,293",100.92%,"2,279",101.54%
제조업,서울특별시,강남구,여자,"1,778","1,759",101.08%,"1,730",102.77%,"1,128","1,113",101.35%,"1,118",100.89%,650,646,100.62%,612,106.21%
제조업,서울특별시,강남구,미상,28,29,96.55%,31,90.32%,17,17,100.00%,17,100.00%,11,12,91.67%,14,78.57%
제조업,서울특별시,송파구,남자,"2,717","2,697",100.74%,"2,584",105.15%,"1,470","1,465",100.34%,"1,433",102.58%,"1,247","1,232",101.22%,"1,151",108.34%
제조업,서울특별시,송파구,여자,849,842,100.83%,771,110.12%,607,604,100.50%,561,108.20%,242,238,101.68%,210,115.24%
제조업,서울특별시,송파구,미상,6,6,100.00%,7,85.71%,6,6,100.00%,6,100.00%,0,0,/0,*,0.00%
제조업,서울특별시,강동구,남자,"1,696","1,703",99.59%,"1,720",98.60%,"1,273","1,280",99.45%,"1,306",97.47%,423,423,100.00%,414,102.17%
제조업,서울특별시,강동구,여자,582,589,98.81%,577,100.87%,505,510,99.02%,504,100.20%,77,79,97.47%,73,105.48%
제조업,서울특별시,강동구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,인천광역시,중구,남자,592,593,99.83%,575,102.96%,398,400,99.50%,394,101.02%,194,193,100.52%,181,107.18%
제조업,인천광역시,중구,여자,182,182,100.00%,162,112.35%,141,139,101.44%,125,112.80%,41,43,95.35%,37,110.81%
제조업,인천광역시,중구,미상,13,13,100.00%,13,100.00%,8,8,100.00%,8,100.00%,5,5,100.00%,5,100.00%
제조업,인천광역시,동구,남자,"1,694","1,697",99.82%,"1,700",99.65%,"1,380","1,383",99.78%,"1,401",98.50%,314,314,100.00%,299,105.02%
제조업,인천광역시,동구,여자,331,333,99.40%,347,95.39%,298,300,99.33%,305,97.70%,33,33,100.00%,42,78.57%
제조업,인천광역시,동구,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,인천광역시,남구,남자,0,0,/0,"2,123",0.00%,0,0,/0,"1,533",0.00%,0,0,/0,590,0.00%
제조업,인천광역시,남구,여자,0,0,/0,628,0.00%,0,0,/0,533,0.00%,0,0,/0,95,0.00%
제조업,인천광역시,남구,미상,0,0,/0,5,0.00%,0,0,/0,5,0.00%,,,,,
제조업,인천광역시,미추홀구,남자,"2,120","2,117",100.14%,0,/0,"1,535","1,536",99.93%,0,/0,585,581,100.69%,0,/0
제조업,인천광역시,미추홀구,여자,646,649,99.54%,0,/0,552,553,99.82%,0,/0,94,96,97.92%,0,/0
제조업,인천광역시,미추홀구,미상,5,5,100.00%,0,/0,5,5,100.00%,0,/0,,,,,
제조업,인천광역시,연수구,남자,"1,231","1,226",100.41%,"1,185",103.88%,603,608,99.18%,592,101.86%,628,618,101.62%,593,105.90%
제조업,인천광역시,연수구,여자,411,412,99.76%,385,106.75%,310,311,99.68%,292,106.16%,101,101,100.00%,93,108.60%
제조업,인천광역시,연수구,미상,8,8,100.00%,7,114.29%,*,*,100.00%,*,200.00%,6,6,100.00%,6,100.00%
제조업,인천광역시,남동구,남자,"8,157","8,122",100.43%,"8,006",101.89%,"5,183","5,161",100.43%,"5,162",100.41%,"2,974","2,961",100.44%,"2,844",104.57%
제조업,인천광역시,남동구,여자,"1,666","1,671",99.70%,"1,666",100.00%,"1,240","1,244",99.68%,"1,227",101.06%,426,427,99.77%,439,97.04%
제조업,인천광역시,남동구,미상,12,12,100.00%,15,80.00%,3,3,100.00%,3,100.00%,9,9,100.00%,12,75.00%
제조업,인천광역시,부평구,남자,"3,450","3,441",100.26%,"3,493",98.77%,"2,512","2,494",100.72%,"2,565",97.93%,938,947,99.05%,928,101.08%
제조업,인천광역시,부평구,여자,896,893,100.34%,909,98.57%,750,745,100.67%,759,98.81%,146,148,98.65%,150,97.33%
제조업,인천광역시,부평구,미상,10,10,100.00%,10,100.00%,7,7,100.00%,7,100.00%,3,3,100.00%,3,100.00%
제조업,인천광역시,계양구,남자,"1,793","1,786",100.39%,"1,806",99.28%,"1,302","1,305",99.77%,"1,319",98.71%,491,481,102.08%,487,100.82%
제조업,인천광역시,계양구,여자,504,499,101.00%,521,96.74%,427,424,100.71%,449,95.10%,77,75,102.67%,72,106.94%
제조업,인천광역시,계양구,미상,4,4,100.00%,4,100.00%,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%
제조업,인천광역시,서구,남자,"8,177","8,137",100.49%,"7,832",104.41%,"5,278","5,262",100.30%,"5,136",102.76%,"2,899","2,875",100.83%,"2,696",107.53%
제조업,인천광역시,서구,여자,"1,972","1,955",100.87%,"1,825",108.05%,"1,494","1,485",100.61%,"1,395",107.10%,478,470,101.70%,430,111.16%
제조업,인천광역시,서구,미상,8,8,100.00%,8,100.00%,5,5,100.00%,5,100.00%,3,3,100.00%,3,100.00%
제조업,인천광역시,강화군,남자,438,440,99.55%,419,104.53%,277,278,99.64%,269,102.97%,161,162,99.38%,150,107.33%
제조업,인천광역시,강화군,여자,140,141,99.29%,136,102.94%,102,104,98.08%,103,99.03%,38,37,102.70%,33,115.15%
제조업,인천광역시,강화군,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
제조업,인천광역시,옹진군,남자,49,50,98.00%,47,104.26%,33,33,100.00%,31,106.45%,16,17,94.12%,16,100.00%
제조업,인천광역시,옹진군,여자,31,32,96.88%,25,124.00%,22,23,95.65%,21,104.76%,9,9,100.00%,4,225.00%
제조업,경기도,수원시 장안구,남자,626,624,100.32%,603,103.81%,446,444,100.45%,437,102.06%,180,180,100.00%,166,108.43%
제조업,경기도,수원시 장안구,여자,231,228,101.32%,234,98.72%,208,208,100.00%,207,100.48%,23,20,115.00%,27,85.19%
제조업,경기도,수원시 장안구,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
제조업,경기도,수원시 권선구,남자,"1,949","1,943",100.31%,"1,832",106.39%,"1,142","1,137",100.44%,"1,083",105.45%,807,806,100.12%,749,107.74%
제조업,경기도,수원시 권선구,여자,414,406,101.97%,391,105.88%,324,318,101.89%,300,108.00%,90,88,102.27%,91,98.90%
제조업,경기도,수원시 권선구,미상,5,5,100.00%,5,100.00%,*,*,100.00%,*,100.00%,4,4,100.00%,4,100.00%
제조업,경기도,수원시 팔달구,남자,861,863,99.77%,903,95.35%,627,631,99.37%,645,97.21%,234,232,100.86%,258,90.70%
제조업,경기도,수원시 팔달구,여자,299,297,100.67%,295,101.36%,226,226,100.00%,222,101.80%,73,71,102.82%,73,100.00%
제조업,경기도,수원시 팔달구,미상,4,4,100.00%,4,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,수원시 영통구,남자,"1,735","1,718",100.99%,"1,684",103.03%,800,790,101.27%,778,102.83%,935,928,100.75%,906,103.20%
제조업,경기도,수원시 영통구,여자,383,372,102.96%,325,117.85%,271,263,103.04%,223,121.52%,112,109,102.75%,102,109.80%
제조업,경기도,수원시 영통구,미상,9,9,100.00%,8,112.50%,*,*,100.00%,*,100.00%,7,7,100.00%,6,116.67%
제조업,경기도,성남시 수정구,남자,705,708,99.58%,694,101.59%,503,505,99.60%,500,100.60%,202,203,99.51%,194,104.12%
제조업,경기도,성남시 수정구,여자,267,271,98.52%,257,103.89%,230,233,98.71%,223,103.14%,37,38,97.37%,34,108.82%
제조업,경기도,성남시 수정구,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
제조업,경기도,성남시 중원구,남자,"2,981","2,961",100.68%,"3,011",99.00%,"1,510","1,504",100.40%,"1,534",98.44%,"1,471","1,457",100.96%,"1,477",99.59%
제조업,경기도,성남시 중원구,여자,757,753,100.53%,744,101.75%,568,565,100.53%,552,102.90%,189,188,100.53%,192,98.44%
제조업,경기도,성남시 중원구,미상,7,7,100.00%,9,77.78%,*,*,100.00%,*,100.00%,6,6,100.00%,8,75.00%
제조업,경기도,성남시 분당구,남자,"1,887","1,881",100.32%,"1,890",99.84%,706,700,100.86%,711,99.30%,"1,181","1,181",100.00%,"1,179",100.17%
제조업,경기도,성남시 분당구,여자,651,647,100.62%,595,109.41%,455,451,100.89%,424,107.31%,196,196,100.00%,171,114.62%
제조업,경기도,성남시 분당구,미상,19,20,95.00%,22,86.36%,9,9,100.00%,9,100.00%,10,11,90.91%,13,76.92%
제조업,경기도,의정부시,남자,"1,448","1,448",100.00%,"1,441",100.49%,"1,047","1,048",99.90%,"1,054",99.34%,401,400,100.25%,387,103.62%
제조업,경기도,의정부시,여자,507,503,100.80%,491,103.26%,439,438,100.23%,425,103.29%,68,65,104.62%,66,103.03%
제조업,경기도,의정부시,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,경기도,안양시 만안구,남자,"1,718","1,713",100.29%,"1,774",96.84%,"1,085","1,080",100.46%,"1,129",96.10%,633,633,100.00%,645,98.14%
제조업,경기도,안양시 만안구,여자,426,425,100.24%,421,101.19%,339,340,99.71%,335,101.19%,87,85,102.35%,86,101.16%
제조업,경기도,안양시 만안구,미상,4,4,100.00%,3,133.33%,,,,,,4,4,100.00%,3,133.33%
제조업,경기도,안양시 동안구,남자,"3,199","3,171",100.88%,"3,106",102.99%,"1,598","1,590",100.50%,"1,580",101.14%,"1,601","1,581",101.27%,"1,526",104.91%
제조업,경기도,안양시 동안구,여자,723,722,100.14%,686,105.39%,511,509,100.39%,489,104.50%,212,213,99.53%,197,107.61%
제조업,경기도,안양시 동안구,미상,8,10,80.00%,12,66.67%,5,5,100.00%,5,100.00%,3,5,60.00%,7,42.86%
제조업,경기도,부천시,남자,"11,631","11,583",100.41%,"11,526",100.91%,"8,524","8,495",100.34%,"8,524",100.00%,"3,107","3,088",100.62%,"3,002",103.50%
제조업,경기도,부천시,여자,"2,546","2,524",100.87%,"2,514",101.27%,"2,050","2,030",100.99%,"2,031",100.94%,496,494,100.40%,483,102.69%
제조업,경기도,부천시,미상,13,13,100.00%,17,76.47%,8,8,100.00%,8,100.00%,5,5,100.00%,9,55.56%
제조업,경기도,광명시,남자,"2,022","2,003",100.95%,"2,010",100.60%,"1,419","1,403",101.14%,"1,427",99.44%,603,600,100.50%,583,103.43%
제조업,경기도,광명시,여자,478,484,98.76%,495,96.57%,393,396,99.24%,417,94.24%,85,88,96.59%,78,108.97%
제조업,경기도,광명시,미상,5,5,100.00%,5,100.00%,5,5,100.00%,5,100.00%,,,,,
제조업,경기도,평택시,남자,"4,539","4,516",100.51%,"4,363",104.03%,"2,430","2,426",100.16%,"2,369",102.57%,"2,109","2,090",100.91%,"1,994",105.77%
제조업,경기도,평택시,여자,"1,077","1,071",100.56%,"1,045",103.06%,719,720,99.86%,719,100.00%,358,351,101.99%,326,109.82%
제조업,경기도,평택시,미상,24,24,100.00%,26,92.31%,8,8,100.00%,8,100.00%,16,16,100.00%,18,88.89%
제조업,경기도,동두천시,남자,439,437,100.46%,447,98.21%,302,302,100.00%,310,97.42%,137,135,101.48%,137,100.00%
제조업,경기도,동두천시,여자,163,161,101.24%,164,99.39%,127,125,101.60%,132,96.21%,36,36,100.00%,32,112.50%
제조업,경기도,동두천시,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,안산시 상록구,남자,"1,832","1,825",100.38%,"1,828",100.22%,"1,195","1,189",100.50%,"1,200",99.58%,637,636,100.16%,628,101.43%
제조업,경기도,안산시 상록구,여자,511,510,100.20%,507,100.79%,400,402,99.50%,402,99.50%,111,108,102.78%,105,105.71%
제조업,경기도,안산시 상록구,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,안산시 단원구,남자,"9,177","9,138",100.43%,"9,047",101.44%,"5,073","5,064",100.18%,"5,075",99.96%,"4,104","4,074",100.74%,"3,972",103.32%
제조업,경기도,안산시 단원구,여자,"1,759","1,748",100.63%,"1,773",99.21%,"1,211","1,207",100.33%,"1,240",97.66%,548,541,101.29%,533,102.81%
제조업,경기도,안산시 단원구,미상,18,18,100.00%,22,81.82%,9,9,100.00%,9,100.00%,9,9,100.00%,13,69.23%
제조업,경기도,고양시 덕양구,남자,"1,859","1,855",100.22%,"1,823",101.97%,"1,333","1,331",100.15%,"1,313",101.52%,526,524,100.38%,510,103.14%
제조업,경기도,고양시 덕양구,여자,632,632,100.00%,596,106.04%,525,527,99.62%,504,104.17%,107,105,101.90%,92,116.30%
제조업,경기도,고양시 덕양구,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
제조업,경기도,고양시 일산동구,남자,"3,808","3,803",100.13%,"3,791",100.45%,"2,498","2,498",100.00%,"2,513",99.40%,"1,310","1,305",100.38%,"1,278",102.50%
제조업,경기도,고양시 일산동구,여자,"1,168","1,175",99.40%,"1,124",103.91%,859,868,98.96%,828,103.74%,309,307,100.65%,296,104.39%
제조업,경기도,고양시 일산동구,미상,4,4,100.00%,4,100.00%,4,4,100.00%,4,100.00%,,,,,
제조업,경기도,고양시 일산서구,남자,"1,298","1,292",100.46%,"1,272",102.04%,965,964,100.10%,945,102.12%,333,328,101.52%,327,101.83%
제조업,경기도,고양시 일산서구,여자,488,490,99.59%,492,99.19%,398,402,99.00%,397,100.25%,90,88,102.27%,95,94.74%
제조업,경기도,고양시 일산서구,미상,5,5,100.00%,6,83.33%,3,3,100.00%,3,100.00%,*,*,100.00%,3,66.67%
제조업,경기도,과천시,남자,193,192,100.52%,189,102.12%,115,115,100.00%,110,104.55%,78,77,101.30%,79,98.73%
제조업,경기도,과천시,여자,75,75,100.00%,66,113.64%,57,57,100.00%,49,116.33%,18,18,100.00%,17,105.88%
제조업,경기도,과천시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
제조업,경기도,구리시,남자,957,950,100.74%,919,104.13%,739,735,100.54%,726,101.79%,218,215,101.40%,193,112.95%
제조업,경기도,구리시,여자,340,341,99.71%,318,106.92%,292,294,99.32%,273,106.96%,48,47,102.13%,45,106.67%
제조업,경기도,구리시,미상,3,3,100.00%,3,100.00%,3,3,100.00%,3,100.00%,,,,,
제조업,경기도,남양주시,남자,"6,435","6,420",100.23%,"6,252",102.93%,"4,759","4,756",100.06%,"4,703",101.19%,"1,676","1,664",100.72%,"1,549",108.20%
제조업,경기도,남양주시,여자,"1,951","1,936",100.77%,"1,787",109.18%,"1,551","1,542",100.58%,"1,463",106.02%,400,394,101.52%,324,123.46%
제조업,경기도,남양주시,미상,7,7,100.00%,7,100.00%,6,6,100.00%,6,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,오산시,남자,"1,190","1,193",99.75%,"1,183",100.59%,711,716,99.30%,710,100.14%,479,477,100.42%,473,101.27%
제조업,경기도,오산시,여자,295,286,103.15%,292,101.03%,221,216,102.31%,220,100.45%,74,70,105.71%,72,102.78%
제조업,경기도,오산시,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,시흥시,남자,"14,529","14,518",100.08%,"14,183",102.44%,"10,337","10,353",99.85%,"10,231",101.04%,"4,192","4,165",100.65%,"3,952",106.07%
제조업,경기도,시흥시,여자,"2,695","2,674",100.79%,"2,596",103.81%,"2,047","2,039",100.39%,"1,997",102.50%,648,635,102.05%,599,108.18%
제조업,경기도,시흥시,미상,11,11,100.00%,11,100.00%,4,4,100.00%,4,100.00%,7,7,100.00%,7,100.00%
제조업,경기도,군포시,남자,"3,337","3,331",100.18%,"3,245",102.84%,"1,973","1,968",100.25%,"1,955",100.92%,"1,364","1,363",100.07%,"1,290",105.74%
제조업,경기도,군포시,여자,705,709,99.44%,683,103.22%,512,513,99.81%,500,102.40%,193,196,98.47%,183,105.46%
제조업,경기도,군포시,미상,7,7,100.00%,8,87.50%,3,3,100.00%,4,75.00%,4,4,100.00%,4,100.00%
제조업,경기도,의왕시,남자,"1,231","1,230",100.08%,"1,240",99.27%,674,676,99.70%,699,96.42%,557,554,100.54%,541,102.96%
제조업,경기도,의왕시,여자,324,325,99.69%,320,101.25%,233,236,98.73%,240,97.08%,91,89,102.25%,80,113.75%
제조업,경기도,의왕시,미상,3,3,100.00%,3,100.00%,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%
제조업,경기도,하남시,남자,"1,924","1,914",100.52%,"1,798",107.01%,"1,256","1,253",100.24%,"1,199",104.75%,668,661,101.06%,599,111.52%
제조업,경기도,하남시,여자,598,585,102.22%,468,127.78%,439,431,101.86%,336,130.65%,159,154,103.25%,132,120.45%
제조업,경기도,하남시,미상,*,*,100.00%,*,100.00%,*,*,100.00%,*,100.00%,,,,,
제조업,경기도,용인시 처인구,남자,"3,482","3,483",99.97%,"3,410",102.11%,"2,009","2,015",99.70%,"1,987",101.11%,"1,473","1,468",100.34%,"1,423",103.51%
제조업,경기도,용인시 처인구,여자,971,967,100.41%,935,103.85%,687,686,100.15%,660,104.09%,284,281,101.07%,275,103.27%
제조업,경기도,용인시 처인구,미상,*,*,100.00%,*,100.00%,,,,,,*,*,100.00%,*,100.00%
제조업,경기도,용인시 기흥구,남자,"1,631","1,617",100.87%,"1,540",105.91%,751,746,100.67%,678,110.77%,880,871,101.03%,862,102.09%
제조업,경기도,용인시 기흥구,여자,548,541,101.29%,477,114.88%,394,388,101.55%,345,114.20%,154,153,100.65%,132,116.67%
제조업,경기도,용인시 기흥구,미상,6,6,100.00%,6,100.00%,*,*,100.00%,*,100.00%,5,5,100.00%,5,100.00%
제조업,경기도,용인시 수지구,남자,507,505,100.40%,486,104.32%,296,294,100.68%,287,103.14%,211,211,100.00%,199,106.03%
제조업,경기도,용인시 수지구,여자,246,240,102.50%,231,106.49%,201,195,103.08%,182,110.44%,45,45,100.00%,49,91.84%
